源文本	hel模型	liam模型
The dates given for each item indicate when the item was first taken up by the Council at a formal meeting, and the most recent formal meeting of the Council held on that item.	每个项目的注明日期指的是安理会首次在正式会议上讨论该项目的日期以及安理会最近一次就该项目举行正式会议的日期。	每个项目的注明日期指的是安理会首次在正式会议上讨论该项目的日期以及安理会最近一次就该项目举行正式会议的日期。
It is disappointing that the Greek Cypriot side continues to exploit international platforms to blatantly distort the factual and historical realities in Cyprus.	令人失望的是,希族塞人一方继续利用国际平台公然歪曲塞浦路斯的事实和历史现实。	令人失望的是,希族塞人一方继续利用国际平台公然歪曲塞浦路斯事实和历史现实。
The Greek Cypriot representative's unscrupulous citation of the Charter cannot veil the fact that, since 1963, the Greek Cypriot administration has been persistently following a hostile policy towards Turkish Cypriots, the sole aim of which is to deny them the tenets of the Charter, as well as the Universal Declaration of Human Rights.	希族塞人代表肆无忌惮地引用《宪章》,这不能掩盖一个事实,即自1963年以来,希族塞人行政当局一直坚持对土族塞人采取敌对政策,其唯一目的是否定《宪章》和《世界人权宣言》的原则。	希族塞人代表肆无忌惮地引用《宪章》不能掩盖一个事实,即自1963年以来,希族塞人行政当局一直坚持对土族塞人采取敌对政策,其唯一目的是否定《宪章》和《世界人权宣言》的原则。
Participants will be offered a training programme on at-sea exploration or engineering, or a fellowship programme.	将向参加者提供海上勘探或工程培训方案或研究金方案。	将向参加者提供海上勘探或工程培训方案或研究金方案。
30. The Commission is satisfied that none of the conditions in regulation 21, paragraph 6, apply.	30. 委员会感到满意的是,第21条第6款中的任何条件都不适用。	30. 委员会感到满意的是,第21条第6款中的任何条件都不适用。
According to preliminary information, the bombardment was carried out using multiple "Grad" rocket launchers from inside terrorist-controlled territory.	根据初步资料,轰炸使用了来自恐怖分子控制区内的多个“Grad”火箭发射器。	根据初步情报,轰炸使用了来自恐怖分子控制区内的多个“Grad”火箭发射器。
Australia (2017), Canada (2016), Denmark (2017), Germany (2016), Italy* (2015), United States of America* (2015)	澳大利亚(2017年)、加拿大(2016年)、丹麦(2017年)、德国(2016年)、意大利* (2015年)、美利坚合众国* (2015年)	澳大利亚(2017)、加拿大(2016)、丹麦(2017)、德国(2016)、意大利*(2015)、美利坚合众国*(2015)
The high-risk project was a result of a direct request by my Special Representative, conscious of the need to address the threat posed by the presence of regrouped and armed ex-Séléka in Bangui.	高风险项目是我的特别代表提出直接请求的结果,因为我的特别代表认识到,必须应对班吉前塞雷卡集结和武装前塞雷卡集结和武装的存在所造成的威胁。	高风险项目是我的特别代表直接请求的结果,因为我的特别代表意识到需要应对班吉前塞雷卡集结和武装前塞雷卡的存在所构成的威胁。
In Yemen, for example, a joint project between the Department of Political Affairs, UNDP, UNFPA, UN-Women and UNICEF helped to launch an inclusive National Dialogue Conference.	例如,在也门,政治事务部、开发署、人口基金、妇女署和儿基会的一个联合项目帮助启动了包容各方的全国对话会议。	例如,在也门,政治事务部、开发署、人口基金、妇女署和儿基会的一个联合项目帮助启动了包容各方的全国对话会议。
To be held on Wednesday, 21 January 2015, at 11 a.m.	定于2015年1月21日星期三上午11时举行	定于2015年1月21日星期三上午11时举行
Provisional agenda for the 7364th meeting of the Security Council	安全理事会第7364次会议临时议程	安全理事会第7364次会议临时议程
The civil aviation authority of the Turkish Republic of Northern Cyprus is the sole competent authority to provide air traffic and aeronautical information services within its own national airspace.	北塞浦路斯土耳其共和国民航局是在本国领空内提供空中交通和航空信息服务的唯一主管当局。	北塞浦路斯土耳其共和国民航局是在本国领空提供空中交通和航空信息服务的唯一主管当局。
What would indeed contribute to a better atmosphere on the island is for the Greek Cypriot side to stop misappropriating for itself rights and responsibilities it does not legally have, and to cease its hostile acts against the Turkish Cypriot people.	真正有助于改善塞岛气氛的是希族塞人方面停止滥用它在法律上并不拥有的权利和责任,停止对土族塞人的敌对行为。	真正有助于改善塞岛气氛的,是希族塞人一方停止滥用它在法律上并不拥有的权利和责任,停止对土族塞人的敌对行为。
Taking note of the five-year action agenda of the Secretary-General, which identifies working with and for women and young people as one of the five generational opportunities,	注意到秘书长的五年行动议程,其中确定与妇女和青年人合作并为妇女和青年人工作是五代机会之一,	注意到秘书长的五年行动议程,其中确定与妇女和青年人合作并为妇女和青年人工作是五代机会之一,
Achieving those benefits rather than focusing on space savings should remain the primary objective of the flexible workplace strategy.	实现这些好处,而不是侧重于空间节约,应该仍然是灵活工作场所战略的首要目标。	灵活工作场所战略的首要目标仍然是实现这些效益,而不是侧重于空间节约。
Executive Board	执行局 执行局 执行局 执行局	执行局 执行局 执行局 执行局
The report assessed progress in eight sectors against development indicators, identifying the health sector as the strongest performing, with 88 per cent of indicators achieved, and private sector development and social protection as the weakest sectors, with 45 and 46 per cent of indicators achieved respectively.	报告对照发展指标评估了8个部门的进展,将卫生部门确定为表现最差的部门,实现了88%的指标,私营部门发展和社会保护是最脆弱的部门,分别实现了45%和46%的指标。	报告对照发展指标评估了八个部门的进展,将卫生部门确定为表现最差的部门,达到指标的88%,私营部门发展和社会保护是最薄弱的部门,分别达到指标的45%和46%。
Bearing in mind the other decisions adopted by the Conference on 11 May 1995,	铭记1995年5月11日会议通过的其他决定,	铭记1995年5月11日会议通过的其他决定,
He indicated that while substantial progress had been made towards the implementation of the 1995 resolution and in undertaking preparations for the 2012 conference, it was clear that further and intensified efforts were needed by the facilitator, the conveners and the States of the region.	他指出,虽然在执行1995年决议和筹备2012年会议方面取得了实质性进展,但显然需要主持人、召集人和该区域各国进一步加紧努力。	他指出,虽然在执行1995年决议和筹备2012年会议方面取得了实质性进展,但显然需要主持人、召集人和该区域各国进一步加紧努力。
Such an approach would be consistent with the decision of 3 May 2013 of the Abyei Joint Oversight Committee to make Abyei a "weapons-free zone".	这种做法符合阿卜耶伊联合监督委员会2013年5月3日关于使阿卜耶伊成为“无武器区”的决定。	这种做法符合阿卜耶伊联合监督委员会2013年5月3日关于使阿卜耶伊成为一个“无武器区”的决定。
While the Government of South Sudan is seeking support and recognition for a Ngok Dinka administration over Ngok Dinka communities, the Government of the Sudan is proceeding with the preparations for the organization of its national elections in Abyei.	南苏丹政府正在寻求支持和承认恩哥克-丁卡族政府对恩哥克-丁卡族的管理,同时苏丹政府正在筹备在阿卜耶伊举行全国选举。	南苏丹政府正在寻求支持和承认恩哥克-丁卡族行政当局对恩哥克-丁卡族的管理,与此同时,苏丹政府正着手筹备在阿卜耶伊举行全国选举。
2. Recognizes that political stability and socioeconomic recovery are essential to the long-term development of Haiti, and welcomes the efforts of the United Nations and the international community in both fields;	2. 确认政治稳定和社会经济恢复对海地的长期发展至关重要,欢迎联合国和国际社会在这两个领域所作的努力;	2. 确认政治稳定和社会经济恢复对海地的长期发展至关重要,欢迎联合国和国际社会在这两个领域作出的努力;
9. Calls upon the Haitian authorities to take all the steps necessary to ensure the regular functioning of public institutions, and calls upon all the political actors in Haiti to work cooperatively and without further delay to ensure the holding of overdue legislative and local elections so that legitimate, credible and well-functioning authorities are in place to contribute to the recovery and development process, and to continue to interact with development partners in a constructive manner;	9. 吁请海地当局采取一切必要步骤,确保公共机构的正常运作,并吁请海地所有政治行为体合作,不再拖延地立即开展工作,确保举行早该举行的立法和地方选举,以便建立合法、可信、运作良好的当局,为恢复和发展进程作出贡献,并继续以建设性方式与发展伙伴进行互动;	9. 吁请海地当局采取一切必要步骤,确保公共机构正常运作,并吁请海地所有政治行为体合作,不再拖延,确保举行早该举行的立法和地方选举,以便建立合法、可信、运作良好的当局,为复苏和发展进程作出贡献,并继续以建设性方式与发展伙伴互动;
3 December	12月3日	12月3日 12月3日
III. Conclusion and recommendation	三. 结论和建议	三. 结论和建议
We welcome further ideas and robust discussion on the key elements of an amendment identified below.	我们欢迎就下文所述修正案的关键内容提出进一步想法和进行积极讨论。	我们欢迎就下文所述修正案的关键内容提出进一步想法和进行热烈讨论。
6. How do reductions in HFCs relate to the existing phase-out schedule for HCFCs; and	6. 氢氟碳化合物的削减与氟氯烃的现行逐步淘汰时间表有何关联;以及	6. 氢氟碳化合物的削减与氟氯烃现行逐步淘汰时间表有何关联;
United Nations Development Programme (UNDP)	联合国开发计划署(开发计划署)	联合国开发计划署(开发计划署)
He cited evidence in the report of two specific incidents where military materiel previously exempted by the Committee had been diverted.	他在报告中援引了两起具体事件的证据,在这些事件中,委员会以前豁免的军用物资被转用。	他在报告中援引了两起具体事件的证据,在这些事件中,委员会以前豁免的军用物资被转用。
Council members broadly expressed their hopes for the ongoing five plus one group dialogue with the Islamic Republic of Iran, including meetings to be held in New York later in September, and reiterated that a long-term and proper solution of the Iranian nuclear issue should be sought through diplomatic and peaceful means.	安理会成员广泛表示希望与伊朗伊斯兰共和国正在进行的五加一小组对话,包括将于9月下旬在纽约举行的会议,并重申应通过外交及和平手段寻求伊朗核问题的长期和适当解决办法。	安理会成员广泛表示希望与伊朗伊斯兰共和国持续进行五加一小组对话,包括将于9月下旬在纽约举行的会议,并重申应通过外交与和平途径寻求伊朗核问题的长期和适当解决办法。
To be held on Friday, 6 March 2015, at 12.40 p.m.	定于2015年3月6日星期五下午12时40分举行	定于2015年3月6日星期五下午12时40分举行
61. In the past five years, IAEA has invested in improving vital safeguards infrastructure and technology.	61. 在过去五年中,原子能机构投资改善重要的保障监督基础设施和技术。	61. 过去五年,原子能机构投资改进重要的保障监督基础设施和技术。
Information analysis	信息分析	信息分析
The civil liability of legal persons is enshrined in Article 60 of the Civil Code.	法人的民事责任载于《民法典》第60条。	法人的民事责任载于《民法典》第60条。
Extradition requests received by Armenia based on the Convention against Corruption cannot be refused on the sole ground that the offence is also considered to involve fiscal matters per the direct application of the Convention.	亚美尼亚根据《反腐败公约》收到的引渡请求不能仅以该犯罪也被视为涉及直接适用《公约》的财政事项为由而予以拒绝。	亚美尼亚根据《反腐败公约》收到的引渡请求不能仅以犯罪还被视为涉及直接适用《公约》的财政事项为由而予以拒绝。
United Nations Children's Fund	联合国儿童基金会 联合国儿童基金会 联合国儿童基金会 联合国儿童基金会 联合国儿童基金会	联合国儿童基金会 联合国儿童基金会 联合国儿童基金会 联合国儿童基金会 联合国儿童基金会 联合国儿童基金会
Doing this will help overcome the challenges of implementing the Beijing Platform for Action Priority themes.	这样做将有助于克服执行《北京行动纲要》的优先主题的挑战。	这样做将有助于克服执行《北京行动纲要》的优先主题的挑战。
In doing this, Government should tap the rich assets that are present in academia, professional associations, international & local Non-Government Organizations.	在这样做时,政府应利用学术界、专业协会、国际和当地非政府组织中的丰富资产。	在这样做时,政府应挖掘学术界、专业协会、国际和地方非政府组织中的丰富资产。
2. The recommendations put forth by the Open Working Group for the Sustainable Development Goals should serve as the basis of the intergovernmental negotiations of the post-2015 development agenda.	2. 可持续发展目标开放工作组提出的建议应成为2015年后发展议程政府间谈判的基础。	2. 可持续发展目标开放工作组提出的建议应成为2015年后发展议程政府间谈判的基础。
However, the report falls short on addressing the root causes of gender inequality that hamper the full realisation of women's and girls' rights, true gender equality and empowerment.	然而,报告未能解决阻碍充分实现妇女和女孩权利、真正的性别平等和赋权的两性不平等的根源。	然而,报告未能解决阻碍充分实现妇女和女孩权利、真正的两性平等和赋权的两性不平等的根源。
37. Requests the United Nations development system to ensure that reports to the Governments of programme countries are structured around the United Nations Development Assistance Framework or common planning framework outcomes, are linked to national development results and inform the Governments of programme countries of the results achieved by the United Nations country team as a whole, and requests the Secretary-General, as part of his regular reporting to the Council, to provide an update on progress in this regard;	37. 请联合国发展系统确保向方案国政府提交的报告以联合国发展援助框架或共同规划框架成果为框架,与国家发展成果挂钩,并向方案国政府通报整个联合国国家工作队取得的成果,并请秘书长在定期向理事会提交报告时,提供这方面最新进展情况;	37. 请联合国发展系统确保向方案国政府提交的报告围绕联合国发展援助框架或共同规划框架成果编排,与国家发展成果挂钩,并向方案国政府通报整个联合国国家工作队取得的成果,并请秘书长在向理事会定期提交报告时,提供这方面最新进展情况;
Introduction	导言 导言 导言 导言 导言 导言 导言 导言	一. 导言 导言 导言 一. 导言 导言 一,导言 导言 一,导言 导言 导言 导言 导言 导言 导言 导言
3. Notes the recent engagements between the United Nations and the Caribbean Community;	3. 注意到联合国与加勒比共同体最近的接触;	3. 注意到联合国与加勒比共同体最近的接触;
Emphasizing the continued importance of regular engagements between the two organizations, including contacts between the Secretary-General of the United Nations and Heads of Government of the Caribbean Community, and also between the Secretary-General of the United Nations and the Secretary-General of the Caribbean Community, with a view to reinforcing cooperation and collaboration,	强调两组织之间经常接触,包括联合国秘书长与加勒比共同体政府首脑之间以及联合国秘书长与加勒比共同体秘书长之间接触,仍然十分重要,以期加强合作与协作,	强调两组织之间定期接触,包括联合国秘书长与加勒比共同体政府首脑之间以及联合国秘书长与加勒比共同体秘书长之间接触,仍然十分重要,以便加强合作与协作,
3. The standard clauses referred to in operative paragraph 1 of the Contract shall be replaced by the standard clauses attached to this agreement as annex III, which shall be incorporated into the Contract and shall have effect as if set out therein at length.	3. 合同执行部分第1段所述标准条款应由作为附件三的本协定所附标准条款取代。 标准条款应并入合同,并具有与合同详细规定相同的效力。	3. 合同执行部分第1段所述标准条款应由作为附件三的本协定所附标准条款取代。 标准条款应并入合同,并具有与详细条款一样的效力。
1. Schedule 2 of the Contract shall be replaced by the programme of activities attached to this agreement as annex I.	1. 合同附表2应由附于本协定附件一的活动方案取代。	1. 合同附表2应由附于本协定附件一的活动方案取代。
The at-risk-of-poverty rate, measured according to the Europe 2020 strategy, increased by 4.5 points in three years in Catalonia, from 22.2 per cent in 2009 to 26.7 per cent in 2011.	根据欧洲2020年战略衡量,加泰罗尼亚贫困风险率在三年内增加了4.5个百分点,从2009年的22.2%增至2011年的26.7%。	根据欧洲2020年战略衡量的贫困风险率,加泰罗尼亚在三年内增加了4.5个百分点,从2009年的22.2%增加到2011年的26.7%。
To be held on Thursday, 12 February 2015, at 10.23 a.m.	定于2015年2月12日星期四上午10时23分举行	定于2015年2月12日星期四上午10时23分举行
Representatives of 17 organizations of the United Nations system spoke in support of creating an ad hoc, time-bound working group to deepen the understanding among the organizations of the system of the key drivers of a new urban agenda and strengthen system-wide coherence and coordination on sustainable urbanization.	联合国系统17个组织的代表发言支持设立一个有时限的特设工作组,以加深联合国系统各组织对新的城市议程关键驱动因素的理解,并加强全系统在可持续城市化问题上的一致性和协调性。	17个联合国系统组织的代表发言支持设立一个有时限的特设工作组,以加深联合国系统各组织对新的城市议程关键驱动因素的理解,并加强全系统在可持续城市化方面的协调一致。
If successful, it could drive sustainable development globally and, in the field of urbanization and human settlements, allow important opportunities to be seized that would help to ensure that cities and towns are more productive, happier and more cohesive.	如果取得成功,它可以推动全球可持续发展,在城市化和人类住区领域,可以抓住重要机会,帮助确保城市和城镇更富有生产力、更幸福、更有凝聚力。	如果取得成功,它可以推动全球可持续发展,在城市化和人类住区领域,可以抓住重要机会,帮助确保城镇更富有生产力、更幸福、更有凝聚力。
Such violence can be eradicated by the implementation of the Palermo protocol on prostitution and trafficking in persons, the punishment of individuals that procure sex, the repeal of punishments for prostituted persons and the establishment of occupational reintegration policies for all those wishing to escape the clutches of prostitution.	通过执行《关于卖淫和贩运人口问题的巴勒莫议定书》,惩罚嫖娼者,废除对卖淫者的处罚,为所有希望摆脱卖淫之手的人制定职业再就业政策,可以根除这种暴力。	可以通过执行《关于卖淫和贩运人口问题的巴勒莫议定书》,惩罚嫖娼者,废除对卖淫者的处罚,为所有希望摆脱卖淫魔爪的人制定职业再融合政策,根除这种暴力。
From Institutional Support and Law Reform Section	调自机构支助和法律改革科	调自机构支助和法律改革科
In the view of the Group, safeguards-related confidential information should not be provided in any way to any party not authorized by the Agency.	该集团认为,与保障监督有关的机密信息不应以任何方式提供给未经原子能机构授权的任何一方。	该集团认为,与保障监督有关的机密信息不应以任何方式提供给未经原子能机构授权的任何一方。
9. The Group of Non-Aligned States Parties to the Treaty, mindful of the importance of article III of the Treaty in verifying the peaceful nature of nuclear programmes, reiterates that obligations under that article provide credible assurances for States parties to engage in the transfer of nuclear equipment, material and technology for peaceful purposes.	9. 《条约》不结盟缔约国集团注意到《条约》第三条在核查核方案的和平性质方面的重要性,重申该条规定的各项义务为缔约国提供了进行为和平目的转让核设备、材料和技术的可信保证。	9. 不扩散条约不结盟缔约国集团注意到《条约》第三条在核查核方案的和平性质方面的重要性,重申该条规定的各项义务为缔约国提供了进行为和平目的转让核设备、材料和技术的可信保证。
Indeed, it is hard to believe that the operational data of the Republic of Armenia, the aggressor and occupying State, would coincide with the information reported by the Republic of Azerbaijan, the object of aggression.	事实上,很难相信,作为侵略者和占领国的亚美尼亚共和国的行动数据与作为侵略目标的阿塞拜疆共和国所报告的情报相吻合。	确实,很难相信,作为侵略者和占领国的亚美尼亚共和国的行动数据与作为侵略目标的阿塞拜疆共和国所报告的情报相吻合。
The purposeful concealment of key facts attests to Armenia's deceptive and manipulative practices to deny its role, involvement and grave responsibility for the aggression and occupation of the territories of the Republic of Azerbaijan and its consequences.	故意隐瞒关键事实,证明亚美尼亚的欺骗和操纵做法,否认其侵略和占领阿塞拜疆共和国领土及其后果的作用、参与和严重责任。	故意隐瞒关键事实证明了亚美尼亚的欺骗和操纵做法,否认其对侵略和占领阿塞拜疆共和国领土及其后果的作用、参与和严重责任。
The study of parenting, which was taught by Pythagoras and Plato and applied to the Thesmophoria initiation rites, was the key to and the cause of the flourishing of ancient Greek culture.	由毕达哥拉斯和柏拉图教授并适用于Thesmophoria启蒙仪式的育儿研究,是古希腊文化繁荣的关键和事业。	由毕达哥拉斯和柏拉图教授并应用到Thesmophoria启蒙仪式的育儿研究,是古希腊文化繁荣的关键和事业。
Strategic objectives and measures to be taken	战略目标和将采取的措施	战略目标和要采取的措施
The Security Council recalls its decision to place Boko Haram on the Al-Qaida sanctions list.	安全理事会回顾其决定将博科哈拉姆组织列入基地组织制裁名单。	安全理事会回顾其决定将博科圣地列入基地组织制裁名单。
The Security Council urges the LCBC Member States and Benin to undertake further planning toward the sustainable, viable and effective operationalization of the Multinational Joint Task Force.	安全理事会敦促利比里亚中央银行成员国和贝宁进一步规划多国联合特遣部队的可持续、可行和有效运作。	安全理事会敦促利比里亚中央银行成员国和贝宁进一步规划多国联合工作队的可持续、可行和有效的运作。
In addition, armed terrorist groups struck Aleppo and Ladhiqiyah, killing many persons in both cities.	此外,武装恐怖团伙袭击了阿勒颇和拉塔基亚,在这两个城市杀害了许多人。	此外,武装恐怖团伙袭击了阿勒颇和拉塔基亚,在这两个城市杀害了许多人。
Wells, in particular on St. Croix, supply the remainder of the fresh water necessary.	特别是在圣克罗伊岛,供水井供应其余所需淡水。	供水井,特别是圣克罗伊的水井,提供其余所需的淡水。
4. Since the Organic Act of the Virgin Islands was revised by the Government of the United States in 1954, there have been four attempts to replace it with a local constitution approved by the people of the Territory, which would organize the internal mechanisms of government.	4. 自1954年美国政府修订《维尔京群岛组织法》以来,曾四次试图用领土人民核准的地方宪法取代《维尔京群岛组织法》,该宪法将组织政府的内部机制。	4. 自1954年美国政府修订《维尔京群岛组织法》以来,共四次尝试用领土人民批准的一部地方宪法取代《维尔京群岛组织法》,该宪法将组织政府的内部机制。
Pursuant to rule 15 of the provisional rules of procedure of the Security Council, the Secretary-General wishes to report that he has received a letter dated 25 February 2015 from the Minister of Foreign Affairs and Expatriates of Jordan stating that Mr. Muaz Al-Otoom has been appointed alternate representative of Jordan on the Security Council.	依照安全理事会暂行议事规则第15条的规定,秘书长谨报告,他收到约旦外交和侨民事务部长2015年2月25日的信,内称穆阿兹·奥托姆先生已被任命为约旦出席安全理事会的候补代表。	依照安全理事会暂行议事规则第15条的规定,秘书长谨报告,他收到约旦外交和侨民事务部长2015年2月25日的信,内称穆阿兹·奥托姆先生已被任命为约旦出席安全理事会的候补代表。
1. Adoption of the agenda.	1. 通过议程。	1. 通过议程。
Accordingly, I wish to inform you that, after consulting the Security Council Committee established pursuant to resolution 2127 (2013) concerning the Central African Republic, I have appointed the following experts:	因此,谨通知你,经与安全理事会关于中非共和国的第2127(2013)号决议所设委员会协商,我已任命下列专家:	因此,谨通知你,经与安全理事会关于中非共和国的第2127(2013)号决议所设委员会协商,我已任命下列专家:
204. The social stigma associated with sexual violence, because of the nature of the crime and the social, cultural, economic and religious implications, at times, makes affected communities and officials more comfortable with denial.	204. 由于犯罪的性质以及社会、文化、经济和宗教影响,与性暴力有关的社会耻辱有时使受影响的社区和官员更愿意否认。	204. 与性暴力相关的社会耻辱,由于犯罪的性质以及社会、文化、经济和宗教影响,有时使受影响的社区和官员更愿意否认。
The Panel confirmed the use of the Rakhsh armoured personnel carrier in Darfur; a certain violation of the arms embargo by the Government of the Sudan.	专家组证实,在达尔富尔使用了Rakhsh装甲运兵车;苏丹政府在某种程度上违反了武器禁运。	专家组证实在达尔富尔使用了Rakhsh装甲运兵车,苏丹政府在某种程度上违反了武器禁运。
7. Decides to continue to give due consideration to the issue of disability and development, including within the framework of United Nations operational activities, in accordance with relevant mandates, in order to enhance awareness and cooperation at all levels, including the participation, where appropriate, of United Nations agencies, multilateral development banks and institutions and other relevant stakeholders, while ensuring coordination and avoiding any possible overlapping;	7. 决定继续适当考虑到残疾与发展问题,包括在联合国业务活动框架内,根据相关任务规定,加强各级的认识与合作,包括酌情让联合国机构、多边开发银行和机构以及其他相关的利益攸关方参与,同时确保协调和避免任何可能的重叠;	7. 决定继续适当考虑到残疾与发展问题,包括在联合国业务活动框架内,根据相关任务规定,加强各级的认识与合作,包括酌情让联合国机构、多边开发银行和机构以及其他相关的利益攸关方参与,同时确保协调和避免任何可能的重叠;
Further, the focus of unmet needs for family planning ignores the reasons why many women do not want to use contraceptives, including health concerns, side effects, and personal, religious or ethical beliefs.	此外,未满足的计划生育需求的重点忽视了许多妇女不愿使用避孕药具的原因,包括健康问题、副作用以及个人、宗教或道德信仰。	此外,未满足的计划生育需求的重点忽视了许多妇女不愿使用避孕药具的原因,包括健康问题、副作用以及个人、宗教或伦理信仰。
I have the honour to inform you that Sweden requests that the following item, listed in paragraph 3 of the above-mentioned document, remain on the list of matters of which the Council is seized:	谨通知你,瑞典请求在安理会处理中的事项清单中保留上述文件第3段所列的下列项目:	谨通知你,瑞典请求在安理会处理中的事项清单中保留上述文件第3段所列的下列项目:
The goal is to increase the yields, productivity, value added and revenue of such production, thereby benefiting families and their communities.	目标是提高产量、生产力、增值和这种生产的收入,从而使家庭和社区受益。	目标是提高产量、生产力、增值和收入,从而使家庭和社区受益。
22. There has been an improvement in the indicators for unmet basic needs.	22. 未满足基本需要的指标有所改善。	22. 尚未满足的基本需要指标有所改善。
I would like to take this opportunity to express my gratitude to Lieutenant-General Tesfamariam, as well as to former acting Head of Mission, Major General Halefom Moges, for their dedication and effective leadership of UNISFA.	我愿借此机会感谢特斯法马里亚姆中将和前特派团代理团长哈利福姆·莫赫斯少将,感谢他们对联阿安全部队的奉献和有效领导。	我愿借此机会感谢特斯法马里亚姆中将以及前特派团团长哈利福姆·莫赫斯少将的奉献精神和对联阿安全部队的有效领导。
I have the honour to refer to the United Nations Interim Security Force for Abyei (UNISFA), established by Security Council resolution 1990 (2011) of 27 June 2011 and most recently extended by Council resolution 2179 (2014) of 14 October 2014.	谨提及安全理事会2011年6月27日第1990(2011)号决议设立、最近经安理会2014年10月14日第2179(2014)号决议延长任期的联合国阿卜耶伊临时安全部队(联阿安全部队)。	谨提及安全理事会2011年6月27日第1990(2011)号决议设立、最近经安理会2014年10月14日第2179(2014)号决议延长任期的联合国阿卜耶伊临时安全部队(联阿安全部队)。
Expressing appreciation to the fact-finding mission personnel for their courage and dedication in carrying out their assignment,	感谢实况调查团人员在执行任务时表现出的勇气和献身精神,	感谢实况调查团人员在执行任务时表现出的勇气和献身精神,
Underlining that the use of any chemical weapons by anyone under any circumstances would be reprehensible and completely contrary to the legal norms and standards of the international community,	强调任何人在任何情况下使用任何化学武器都将受到谴责,而且完全违背国际社会的法律规范和标准,	强调任何人在任何情况下使用任何化学武器都应受到谴责,并且完全违背国际社会的法律规范和标准,
Its therapeutic usefulness has been assessed to be little, as it is not currently licensed for use.	据评估,其治疗用途不大,因为目前没有使用许可证。	评估认为,其治疗用途很小,因为目前还没有许可使用。
In order to set the record straight, I would like to bring the following to your kind attention.	为了澄清事实,我谨提请你注意以下几点。	为了澄清事实,我谨提请你注意以下几点。
I would be grateful if the present letter and its annex could be circulated as a document of the General Assembly, under agenda item 42, and of the Security Council.	请将本函及其附件作为大会议程项目42的文件和安全理事会的文件分发为荷。 常驻代表	请将本函及其附件作为大会议程项目42的文件和安全理事会的文件分发为荷。
Raising the Convention to constitutional status has been provisionally approved by the Argentine Congress.	阿根廷国会已暂时批准将《公约》提高到宪法地位。	将《公约》提升到宪法地位已得到阿根廷议会临时批准。
In adopting that decision, the Governing Council welcomed the flexibility and support of Kuwait for the requests made by Iraq.	在通过该决定时,理事会欢迎科威特对伊拉克提出的请求表现出灵活性和支持。	在通过该决定时,理事会欢迎科威特对伊拉克提出的要求表现出灵活性和支持。
Please provide information on the complaints of cases of discrimination against women, including multiple forms of discrimination.	请提供资料,说明关于歧视妇女,包括多种形式歧视的投诉。	请提供资料,说明有关歧视妇女,包括多种形式歧视的投诉。
